iso2c,country,year,exports_pc_gdp,gdp,iso3c,region,capital,longitude,latitude,income,lending
AF,Afghanistan,1980,,3641723321.99546,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1981,,3478787909.09091,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1982,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1983,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1984,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1985,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1986,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1987,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1988,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1989,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1990,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1991,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1992,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1993,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1994,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1995,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1996,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1997,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1998,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1999,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2000,,,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2001,,2461665937.89386,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2002,32.3867187434984,4128820723.04713,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2003,43.5568692886976,4583644246.48061,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2004,33.9964942565238,5285465685.86423,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2005,27.3952555550972,6275073571.54659,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2006,26.4702926571493,7057598406.61553,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2007,17.8237142691694,9843842455.48323,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2008,17.9929746901578,10190529882.4878,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2009,14.707588950143,12486943505.7381,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2010,10.0238497500877,15936800636.2487,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2011,6.1072740046737,17930239399.8149,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2012,5.51685032452764,20536542736.7297,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2013,6.30789504119987,20046334303.9661,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2014,6.56770005026151,20050189881.6659,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2015,7.00211692002352,19702986340.5494,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2016,6.89624956360815,19469022207.6357,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AL,Albania,1960,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1961,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1962,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1963,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1964,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1965,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1966,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1967,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1968,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1969,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1970,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1971,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1972,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1973,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1974,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1975,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1976,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1977,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1978,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1979,,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1980,23.1155877404787,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1981,22.9826424624068,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1982,19.3750006044487,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1983,18.1966040097454,,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1984,17.4130828745422,1924242453.00793,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1985,16.2355450687433,1965384586.2409,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1986,15.0575048012794,2173750012.5,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1987,15.4662970134491,2156624900,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1988,16.382290098777,2126e6,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1989,17.9401526574603,2335124987.5,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1990,14.8694465271417,2101624962.5,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1991,7.22457950300987,1139166645.83333,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1992,11.4904380543576,709452583.880319,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1993,15.4225232597195,1228071037.84446,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1994,11.3516873339455,1985673798.10258,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1995,12.475374262714,2424499009.14264,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1996,11.1957672128498,3314898291.75235,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1997,9.74565429485444,2359903108.38446,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1998,10.8443029113193,2707123772.16195,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,1999,15.8167310392108,3414760915.27878,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2000,17.8670840190739,3632043907.97733,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2001,18.4315710845092,4060758804.12084,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2002,19.598874267479,4435078647.74817,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2003,20.3559109089941,5746945912.58082,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2004,21.9829364121355,7314865175.6199,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2005,22.8240735630002,8158548716.68554,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2006,24.9339955170481,8992642348.7871,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2007,28.0842219491787,10701011896.7708,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2008,29.5902278534988,12881352687.7773,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2009,29.6008670018631,12044212903.8168,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2010,32.440016829285,11926953258.916,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2011,34.0136853607969,12890867538.5302,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2012,33.3516426236448,12319784787.2987,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2013,35.4490589254822,12781029643.5936,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2014,28.230908028688,13219857459.1009,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2015,27.2591711503715,11390365293.8057,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
AL,Albania,2016,28.7398352217051,11926892452.8499,ALB,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
DZ,Algeria,1960,39.043172595018,2723648551.75208,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1961,46.2445568889055,2434776645.73628,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1962,19.79387267512,2001468867.73344,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1963,24.6846820545111,2703014867.32834,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1964,25.0840587279266,2909351792.58659,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1965,22.6039435563255,3136258896.9233,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1966,25.9861975178091,3039834558.74906,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1967,23.434416768712,3370843065.76735,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1968,23.1356346033587,3852115816.97758,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1969,23.7887768242961,4257218772.15369,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1970,22.0727334005425,4863487492.65763,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1971,18.4425191541398,5077222366.97472,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1972,20.4495619832458,6761786386.54713,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1973,25.5036630012744,8715105930.49101,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1974,38.7490436138728,13209713643.3219,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1975,33.6889362162921,15557934268.4965,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1976,33.0545839253536,17728347374.994,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1977,30.58656693011,20971901273.271,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1978,25.5358367212767,26364491313.4471,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1979,31.1483002053416,33243422157.6311,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1980,34.3384614657894,42345277342.0195,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1981,34.5872507738721,44348672667.8715,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1982,30.9248563230201,45207088715.6483,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1983,27.9418061120348,48801369800.3675,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1984,25.7100161819841,53698278905.9678,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1985,23.5839328880834,57937868670.1937,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1986,12.8547573361278,63696301892.8116,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1987,14.2724747252216,66742267773.1959,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1988,15.5078678786413,59089067187.3943,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1989,18.6392633357627,55631489801.5508,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1990,23.4436850828471,62045099642.7774,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1991,29.11782217052,45715367087.1001,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1992,25.3195942793437,48003298223.1178,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1993,21.7838769961664,49946455210.966,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1994,22.5307252452381,42542571305.5136,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1995,26.1947759790559,41764052457.8814,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1996,29.7604483251847,46941496779.8499,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1997,30.9063113798645,48177862501.9495,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1998,22.5783540098039,48187747528.899,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,1999,28.1501164983628,48640574566.6476,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2000,42.0697183238118,54790245600.5846,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2001,36.6893047524956,54744714396.1666,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2002,35.5045331051175,56760288973.6703,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2003,38.2488291071572,67863829880.4832,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2004,40.0532264952068,85324998813.604,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2005,47.205193239313,103198228458.588,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2006,48.810688221487,117027304746.54,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2007,47.0681635490012,134977087734.008,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2008,47.9733451352038,171000691877.714,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2009,35.3716506431356,137211039898.193,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2010,38.4445478458848,161207268655.392,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2011,38.788118552852,200013051408.116,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2012,36.8925950840126,209047389309.482,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2013,33.2053860765838,209783503258.224,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2014,30.4629967543018,213983107815.932,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2015,23.5644759796572,164779467703.299,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
DZ,Algeria,2016,23.7125217113664,156079606663.188,DZA,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
AS,American Samoa,1960,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1961,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1962,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1963,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1964,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1965,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1966,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1967,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1968,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1969,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1970,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1971,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1972,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1973,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1974,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1975,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1976,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1977,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1978,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1979,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1980,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1981,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1982,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1983,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1984,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1985,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1986,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1987,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1988,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1989,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1990,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1991,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1992,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1993,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1994,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1995,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1996,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1997,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1998,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,1999,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2000,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2001,,,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2002,100.778210116732,514e6,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2003,97.3434535104364,527e6,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2004,89.84375,512e6,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2005,99.0059642147117,503e6,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2006,99.7983870967742,496e6,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2007,97.1153846153846,52e7,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2008,113.854351687389,563e6,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2009,78.1710914454277,678e6,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2010,63.1944444444444,576e6,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2011,58.3623693379791,574e6,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2012,74.8447204968944,644e6,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2013,71.3615023474178,639e6,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
AS,American Samoa,2014,66.3009404388715,638e6,ASM,East Asia & Pacific,Pago Pago,-170.691,-14.2846,Upper middle income,Not classified
